Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
28-MAR-2025,15174.5,15305.9,15063,15104.05,683642379,19495.7
01-APR-2025,15068.1,15190.7,14960,15030.1,505003365,14021.17
02-APR-2025,15058.8,15191.3,14848.1,15179.75,529150285,13386.9
03-APR-2025,15064.1,15299.3,15057.9,15285.45,658469647,16500.32
04-APR-2025,15263.35,15281.55,14671.5,14780.5,529450408,14634.44
07-APR-2025,13316.1,14279.5,13314.7,14190.2,619499981,16056.56
08-APR-2025,14528.75,14619.8,14321.15,14498.4,456255287,14701.04
09-APR-2025,14450,14467.2,14234.15,14345.7,416671433,13729.11
11-APR-2025,14691.6,14803.8,14521.15,14786.3,455694070,16435.3
15-APR-2025,15001.45,15248.25,14947.45,15238.45,514544642,17424.63
16-APR-2025,15267.25,15395.4,15234.6,15382.45,529214817,17199.25
17-APR-2025,15370.05,15480.15,15307.05,15452.1,516669868,17212.16
21-APR-2025,15537.95,15768.95,15455.85,15751.85,589581681,18542.89
22-APR-2025,15818.2,15939.85,15708.55,15878.05,869524754,21143.37
23-APR-2025,15970.25,16013.05,15691.8,15923.2,585612355,17077.41
24-APR-2025,15933.55,16006.25,15876,15915.25,664331982,19768.7
25-APR-2025,15937.55,15953.45,15318.8,15524.15,681741760,20750.99
28-APR-2025,15468.5,15651.95,15399.6,15607.15,514974570,16959.46
29-APR-2025,15679.5,15795.65,15617.3,15639.7,520366292,19421.99
30-APR-2025,15624.8,15630.65,15301.4,15359.45,423172987,16457.33
02-MAY-2025,15365.65,15495.05,15221.2,15354.35,501547192,18940.21
05-MAY-2025,15425.45,15542.8,15337.55,15528.3,401271630,15603.22
06-MAY-2025,15569.85,15608.8,15148.45,15181.45,454857927,17808.39
07-MAY-2025,14946.4,15382.4,14943,15362.7,560923757,17623.68
08-MAY-2025,15417.65,15557.05,15101.95,15180.45,579586037,18132.3
09-MAY-2025,14787.2,15116.6,14783.7,15080.45,482548992,14350.23
12-MAY-2025,15556.35,15692.5,15528.9,15684.2,702725611,18526.82
13-MAY-2025,15714.8,15822.65,15644.6,15815.45,590547059,19983.05
14-MAY-2025,15896.9,16047.8,15830.75,16038.3,621193837,22807.41
15-MAY-2025,16112.65,16172.8,16052.1,16159.25,566364602,20287.94
16-MAY-2025,16244.25,16418.35,16163.1,16405.7,802701051,29979.7
19-MAY-2025,16483.65,16606.5,16376,16516.8,837487357,27606.34
20-MAY-2025,16618.4,16656.1,16338,16368.65,595587225,22847.06
21-MAY-2025,16400.45,16489.95,16308.8,16437.1,687216028,20325.96
22-MAY-2025,16424.9,16494.95,16339.2,16436.45,735986364,19675.64
23-MAY-2025,16461.65,16558.55,16363.25,16532.95,1189915438,23168.28
26-MAY-2025,16592.75,16693.75,16563,16619.1,797632487,21935.59
27-MAY-2025,16642.4,16684.2,16587.45,16637.85,673572023,22198.76
28-MAY-2025,16706.7,16744.95,16674.7,16706.35,1079901075,22471.12
29-MAY-2025,16775.45,16814.85,16716.4,16779.55,1064876528,22768.78
30-MAY-2025,16817.35,16872.3,16750.4,16833.05,1596554299,28655.01
02-JUN-2025,16846.1,16976.2,16752.1,16953.75,1482573821,27885.42
03-JUN-2025,17015.35,17063.45,16939.9,16971.25,925417986,28085.57
04-JUN-2025,17020.1,17079.05,16900.9,17060.8,964046637,28697.72
05-JUN-2025,17123.6,17219.5,17122.85,17173.45,831839048,27290.1
06-JUN-2025,17235.1,17306.25,17167.65,17285.75,920423111,27277.64
09-JUN-2025,17396.75,17531.05,17364.8,17515.15,1152484929,27518.07
10-JUN-2025,17596.75,17606.3,17503.75,17544.3,1477452707,24879.88
11-JUN-2025,17595.15,17632.05,17399.6,17528.95,1725160423,28775.18
12-JUN-2025,17557.1,17606,17237.95,17276.9,964275472,25104.55
13-JUN-2025,16926.2,17256.45,16915.4,17210.4,873145150,24568.73
16-JUN-2025,17218.35,17319.55,16931.3,17296.3,746257785,19307.69
17-JUN-2025,17328.35,17371.1,17150.25,17177.3,604457140,19184.18
18-JUN-2025,17169.8,17274.9,17044.35,17143.6,500354013,16361.87
19-JUN-2025,17144.6,17209.25,16772.95,16813.05,510926955,16571.38
20-JUN-2025,16809.8,16962.35,16733.65,16916.95,605155323,22478.72
23-JUN-2025,16799.1,17058.65,16796.9,17048,670720804,21663.29
24-JUN-2025,17216.15,17253.75,17129.8,17180.3,662867352,21785.78
25-JUN-2025,17272.35,17464.7,17261.75,17455.6,907132951,25585.79
26-JUN-2025,17526.5,17546.65,17393.25,17500.5,700280887,20785.3
27-JUN-2025,17579.35,17662.65,17543.95,17642.3,820264851,28605.22
30-JUN-2025,17719.05,17814.3,17703.65,17797.8,735139828,26576.59
01-JUL-2025,17849.95,17855.1,17695.1,17762,658776301,22472.41
02-JUL-2025,17803.35,17807.4,17623.05,17693.1,730886869,20476.45
03-JUL-2025,17721.35,17779.9,17666.1,17758.05,513802114,18387.32
04-JUL-2025,17784.05,17809.2,17683.55,17762.2,557802152,21215.7
07-JUL-2025,17761.05,17799.3,17668.3,17726.35,1278296698,15346.62
08-JUL-2025,17739.1,17819.3,17559.1,17684.8,1626008887,19497.66
09-JUL-2025,17708.1,17800.4,17687.6,17782.45,1045876906,20766.46
10-JUL-2025,17833.7,17859.6,17705.9,17770.65,872648914,16999.34
11-JUL-2025,17747.15,17811.35,17609.5,17645.45,934825776,17793.74
14-JUL-2025,17655.6,17816.9,17561.2,17808.65,1485776256,21621.99
15-JUL-2025,17848.3,17983.65,17847.45,17952.15,925267979,22241.77
16-JUL-2025,17964.15,18033.05,17931.15,17983.5,1068655310,19149.51
17-JUL-2025,18037.65,18077.35,18008.1,18032.3,820350590,16285.84
18-JUL-2025,18055.95,18070.2,17870.85,17909.25,665342264,16387.5
21-JUL-2025,17918.05,17928.05,17778.85,17890.2,491664443,14401.97
22-JUL-2025,17957.55,17998.5,17818.8,17829.25,464248897,15761.46
23-JUL-2025,17869.6,17877.45,17745.05,17852.9,471273466,15212.77
24-JUL-2025,17877.95,17906.15,17720.7,17734.7,506597461,17244.78
25-JUL-2025,17703.2,17703.85,17352.5,17379.95,867071189,20474.42
28-JUL-2025,17337.7,17450.6,17138.7,17163.2,554695830,17522.78
29-JUL-2025,17132.05,17337.9,17061.3,17319.05,460219904,16095.85
30-JUL-2025,17356.8,17442.6,17285.15,17301.05,425396235,15278.53
31-JUL-2025,17093.9,17284.25,17018.05,17144.25,678463475,22461.15
01-AUG-2025,17143.4,17178.9,16840.55,16863.25,584063728,22334.38
04-AUG-2025,16907.05,17041.2,16808.35,17028.65,481780219,18772.37
05-AUG-2025,17056.4,17123.35,16937.1,16974.45,373479142,17440.33
06-AUG-2025,16974.5,17013.3,16689.75,16770.1,455725142,16631.49
07-AUG-2025,16675.35,16777.7,16523.65,16753.2,441995836,14636.84
08-AUG-2025,16770.7,16785.85,16500,16541.9,424551414,14853.62
11-AUG-2025,16535.25,16639.9,16443.75,16617,441447412,18132.31
12-AUG-2025,16646,16685.75,16598.5,16621.2,396469750,14952.56
13-AUG-2025,16679.2,16754.4,16660.85,16727.9,558659695,15889.66
14-AUG-2025,16764.55,16817.05,16638.2,16656.75,378114901,13476.17
18-AUG-2025,16857.5,16913.55,16766.65,16878.7,415096578,15235.33
19-AUG-2025,16920.15,17014.2,16856.45,17006.45,417049104,13058.54
20-AUG-2025,17035.4,17079.1,16956.05,17064.5,351142859,14466.08
21-AUG-2025,17123.4,17186.8,17063.95,17077.7,579032890,21874.05
22-AUG-2025,17084.75,17120.05,16998.7,17050.35,489690543,15399.8
25-AUG-2025,17102.3,17153.2,17042.6,17060.9,344438281,14982.39
26-AUG-2025,17036.15,17047.6,16712.15,16743.95,543001335,18624
28-AUG-2025,16721.3,16724.95,16527.6,16559.65,477690430,14381.79
29-AUG-2025,16568.1,16662.3,16487.7,16506.15,546992541,16156.88
01-SEP-2025,16545.85,16755.35,16541.35,16738.35,362715381,13655.34
02-SEP-2025,16808.9,16923.1,16743.8,16837.85,689975132,15725.04
03-SEP-2025,16873.55,16996.45,16829.05,16979.05,489729876,15924.93
04-SEP-2025,17150.9,17160.1,16845.25,16864.7,446883933,16797.21
05-SEP-2025,16902.15,17008.9,16835.85,16904.25,465701830,16860.09
08-SEP-2025,16958.6,17009.15,16876.25,16935.15,346680713,14700.41
09-SEP-2025,16980.6,16999.15,16896.3,16979.75,386287481,13054.05
10-SEP-2025,17052.15,17153.7,17052.15,17092.25,560965801,15316.36
11-SEP-2025,17127.95,17180.2,17080.9,17090.5,490819012,14942.93
12-SEP-2025,17145.75,17182.4,17070.45,17144.85,500509326,19776.05
15-SEP-2025,17184.65,17269.3,17152.25,17254.25,506499678,19567
16-SEP-2025,17303.35,17392.95,17246.25,17382.2,587822407,20116.46
17-SEP-2025,17441.2,17503.95,17407.45,17470.75,609227084,20718.5
18-SEP-2025,17528.65,17532,17428.3,17481.65,603299854,23400.46
19-SEP-2025,17501.3,17522.25,17442.25,17505.9,701299441,25523.75
22-SEP-2025,17502.95,17539.1,17322,17345.9,538907410,19269.08
23-SEP-2025,17380.55,17393.3,17216.25,17256.25,442217655,18933.76
24-SEP-2025,17267.75,17308.4,17146.1,17162.1,467375876,18009.86
25-SEP-2025,17169.95,17234.45,17033.85,17048.6,411365741,16995.65
26-SEP-2025,17006.95,17023.05,16660.1,16683.1,430302457,17092.13